x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro,parent,child,participant,set,ID,dataset
-0.2062003381801947,-0.0088311675082621,0.0426460892414158,3.867994605757761,-4.824619156178775,-17.367043318023196,5,5,17,1,34,ourdata
-0.1663250505032385,0.0083414444536313,0.0042451910548587,10.68091077196276,-25.130607810113126,-16.920009306759415,5,5,17,1,34,ourdata
-0.080877711976594,-0.0208833170428103,-0.0369257576303754,-3.6210097883740735,-27.206131379712343,-2.692104395971395,5,5,17,1,34,ourdata
-0.0209534731741159,-0.0170304596328861,-0.0570602519567251,-5.786231455692094,0.0528317883934661,-6.322315872588981,5,5,17,1,34,ourdata
0.0025807215103866,0.0146050383555275,-0.0107308007698967,-6.622954892241684,19.3703394905621,7.971347198665542,5,5,17,1,34,ourdata
0.0353812505125426,0.0228183640117242,-0.0007003093115876,-15.607035007974243,31.12476861652306,23.77908785799855,5,5,17,1,34,ourdata
0.103608789284194,0.0168837111695842,0.0071162247203385,-2.152828784049004,39.138261497096416,43.51594224613681,5,5,17,1,34,ourdata
0.1543852493481701,-0.0238269324556942,0.0425712637937393,-17.14274043275667,31.56227800714373,33.0401890070175,5,5,17,1,34,ourdata
0.1710731110275669,-0.024251954740837,-0.0003534790320337,-23.29998704041837,29.178260549153983,27.268494538865845,5,5,17,1,34,ourdata
0.140843388143648,-0.0783375455516048,0.0770223154481434,6.22428141084918,16.788384461677197,0.5342878165935291,5,5,17,1,34,ourdata
0.178213225806104,-0.0652147780984551,0.0669084746283712,20.373108892675987,-19.50075760158373,-29.45550349023349,5,5,17,1,34,ourdata
0.1011042835340301,0.0083701448238247,-0.0224111590530494,20.51884872539884,-35.514907795579305,-36.11272364223082,5,5,17,1,34,ourdata
0.0669042974534292,0.0009067075025609,-0.0633177605257475,9.844965074978598,-27.61882274388593,-28.146827808980056,5,5,17,1,34,ourdata
0.0429589875831922,0.0109079178084,-0.0404099938821067,14.372854229810285,-13.061002703088638,-23.551639449355253,5,5,17,1,34,ourdata
0.0238518052879506,0.0207211523880936,-0.0295575127473383,9.057103925965244,-15.186469187791952,-13.871175809021622,5,5,17,1,34,ourdata
-0.0612405324385094,0.0454150733027737,-0.0140636248753167,0.0086195387180108,-30.99953499207914,3.510366008475172,5,5,17,1,34,ourdata
-0.0404456770801988,-0.0173398979484806,-0.0614647417685783,-0.8426374743091469,-6.681766522543623,-5.912748060926153,5,5,17,1,34,ourdata
-0.0014815342227503,0.0175162878140038,0.0540586041937006,0.4838359456441697,25.92135142268328,-3.54225855011153,5,5,17,1,34,ourdata
-0.034987464819822,-0.0414260300524457,0.0325040207298676,-6.016504734061564,20.14411814415568,15.511882713255597,5,5,17,1,34,ourdata
-0.0963449154045973,-0.0287657768938652,0.0508967301327016,-5.4863312857386655,28.148388669270226,11.8791554657044,5,5,17,1,34,ourdata
-0.1603321438480428,-0.012037486339592,0.0594156905968558,-6.058468860407432,25.61797687288325,13.786847494459286,5,5,17,1,34,ourdata
-0.2582583403949437,-0.0045085330998905,-0.0033136512120395,8.538354450429802,-4.998736110553469,0.8276679138122432,5,5,17,1,34,ourdata
-0.2244563865439238,-0.010009464203223,-0.0516381877792042,9.048814135575002,-20.392214201037405,-16.392647277332962,5,5,17,1,34,ourdata
-0.1171981727185678,-0.0065213992026994,-0.0378404757983944,18.824343310897827,-21.613628220014604,-23.548846638890257,5,5,17,1,34,ourdata
-0.1023038193583659,-0.0360550992483014,-0.0461290651207892,-9.43847839583754,-30.86343511951941,1.1185421428135494,5,5,17,1,34,ourdata
-0.0534308988693822,-0.029569928457602,-0.0515463952811054,-18.160869733111163,-3.4999561398555152,18.4598600623641,5,5,17,1,34,ourdata
0.0413504614639009,-0.0084006146227936,-0.0101947493123337,-9.877651390757515,30.058290011013465,26.01302473686236,5,5,17,1,34,ourdata
0.157078095636818,0.0185184446319937,0.0228733996248711,-25.17227500002809,46.50821869985386,38.76704905436605,5,5,17,1,34,ourdata
